Artigo_Base,Artigo_Completo,Tipo_Pena,Descricao_Crime,Pena_Minima_Valor,Pena_Minima_Unidade,Pena_Maxima_Valor,Pena_Maxima_Unidade,Tipo_Penal_Estrutural,Tipo_Pena_Antigo
Art. 121,Art. 121,Outras Penas/N/A,Art. 121. Matar alguem:,72.0,mês,240.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 121,"Art. 121, V -",Outras Penas/N/A,"V - para assegurar a execução, a ocultação, a impunidade ou vantagem de outro crime:",144.0,mês,360.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 121,"N/A, X -",Outras Penas/N/A,"X - nas dependências de instituição de ensino:     (Incluído pela Lei nº 15.159, de 2025)",144.0,mês,360.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 121,"N/A, § 3",Outras Penas/N/A,"§ 3º Se o homicídio é culposo: (Vide Lei nº 4.611, de 1965)",12.0,mês,36.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 122,Art. 122,Outras Penas/N/A,"Art. 122. Induzir ou instigar alguém a suicidar-se ou a praticar automutilação ou prestar-lhe auxílio material para que o faça:   (Redação dada pela Lei nº 13.968, de 2019)",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 122,art. 129,Outras Penas/N/A,"art. 129 deste Código:   (Incluído pela Lei nº 13.968, de 2019)",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 122,"Art. 122, § 2",Outras Penas/N/A,"§ 2º Se o suicídio se consuma ou se da automutilação resulta morte:    (Incluído pela Lei nº 13.968, de 2019)",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 123,Art. 123,Outras Penas/N/A,"Art. 123 - Matar, sob a influência do estado puerperal, o próprio filho, durante o parto ou logo após:",24.0,mês,72.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 124,Art. 124,Outras Penas/N/A,Art. 124 - Provocar aborto em si mesma ou consentir que outrem lho provoque:  (Vide ADPF 54),12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 125,Art. 125,Outras Penas/N/A,"Art. 125 - Provocar aborto, sem o consentimento da gestante:",36.0,mês,120.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 126,Art. 126,Outras Penas/N/A,Art. 126 - Provocar aborto com o consentimento da gestante:   (Vide ADPF 54),12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 129,Art. 129,Outras Penas/N/A,Art. 129. Ofender a integridade corporal ou a saúde de outrem:,,,,,Crime Base (Caput),Crime Base (Caput)
Art. 128,"Art. 128, IV -",Outras Penas/N/A,IV - aceleração de parto:,12.0,mês,60.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 129,"Art. 129, V -",Outras Penas/N/A,V - aborto:,24.0,mês,96.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 129,"Art. 129, § 3",Outras Penas/N/A,"§ 3° Se resulta morte e as circunstâncias evidenciam que o agente não quís o resultado, nem assumiu o risco de produzí-lo:",48.0,mês,144.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 129,"N/A, § 6",Outras Penas/N/A,"§ 6° Se a lesão é culposa: (Vide Lei nº 4.611, de 1965)",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 130,Art. 130,Outras Penas/N/A,"Art. 130 - Expor alguém, por meio de relações sexuais ou qualquer ato libidinoso, a contágio de moléstia venérea, de que sabe ou deve saber que está contaminado:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 130,"Art. 130, § 1",Outras Penas/N/A,§ 1º - Se é intenção do agente transmitir a moléstia:,12.0,mês,48.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 131,Art. 131,Outras Penas/N/A,"Art. 131 - Praticar, com o fim de transmitir a outrem moléstia grave de que está contaminado, ato capaz de produzir o contágio:",12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 132,Art. 132,Outras Penas/N/A,Art. 132 - Expor a vida ou a saúde de outrem a perigo direto e iminente:,,,,,Crime Base (Caput),Crime Base (Caput)
Art. 133,Art. 133,Outras Penas/N/A,"Art. 133 - Abandonar pessoa que está sob seu cuidado, guarda, vigilância ou autoridade, e, por qualquer motivo, incapaz de defender-se dos riscos resultantes do abandono:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 132,"Art. 132, § 1",Outras Penas/N/A,§ 1º - Se do abandono resulta lesão corporal de natureza grave:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 132,"Art. 132, § 2",Outras Penas/N/A,§ 2º - Se resulta a morte:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 134,Art. 134,Outras Penas/N/A,"Art. 134 - Expor ou abandonar recém-nascido, para ocultar desonra própria:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 134,"Art. 134, § 1",Outras Penas/N/A,§ 1º - Se do fato resulta lesão corporal de natureza grave:,12.0,mês,36.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 134,"Art. 134, § 2",Outras Penas/N/A,§ 2º - Se resulta a morte:,24.0,mês,72.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 136,"Art. 136, § 1",Outras Penas/N/A,§ 1º - Se do fato resulta lesão corporal de natureza grave:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 136,"Art. 136, § 2",Outras Penas/N/A,§ 2º - Se resulta a morte:,,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 137,Art. 137,Outras Penas/N/A,"Art. 137 - Participar de rixa, salvo para separar os contendores:",0.5,mês,0.5,mês,Crime Base (Caput),Crime Base (Caput)
Art. 138,Art. 138,Outras Penas/N/A,"Art. 138 - Caluniar alguém, imputando-lhe falsamente fato definido como crime:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 139,Art. 139,Outras Penas/N/A,"Art. 139 - Difamar alguém, imputando-lhe fato ofensivo à sua reputação:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 140,Art. 140,Outras Penas/N/A,"Art. 140 - Injuriar alguém, ofendendo-lhe a dignidade ou o decoro:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 139,"Art. 139, § 2",Outras Penas/N/A,"§ 2º - Se a injúria consiste em violência ou vias de fato, que, por sua natureza ou pelo meio empregado, se considerem aviltantes:",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 140,"Art. 140, § 3",Outras Penas/N/A,"§ 3º Se a injúria consiste na utilização de elementos referentes a religião ou à condição de pessoa idosa ou com deficiência:        (Redação dada pela Lei nº 14.532, de 2023)",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 147,Art. 147,Outras Penas/N/A,"Art. 147 - Ameaçar alguém, por palavra, escrito ou gesto, ou qualquer outro meio simbólico, de causar-lhe mal injusto e grave:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 148,Art. 148,Outras Penas/N/A,"Art. 148 - Privar alguém de sua liberdade, mediante seqüestro ou cárcere privado:         (Vide Lei nº 10.446, de 2002)",12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 148,"Art. 148, § 2",Detenção,"§ 2º - Se resulta à vítima, em razão de maus-tratos ou da natureza da detenção, grave sofrimento físico ou moral:",24.0,mês,96.0,mês,Crime Qualificado/Autônomo,Detenção
Art. 149,"Art. 149, V -",Outras Penas/N/A,"V - exploração sexual.               (Incluído pela Lei nº 13.344, de 2016)          (Vigência)",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 150,Art. 150,Outras Penas/N/A,"Art. 150 - Entrar ou permanecer, clandestina ou astuciosamente, ou contra a vontade expressa ou tácita de quem de direito, em casa alheia ou em suas dependências:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 150,"Art. 150, § 1",Outras Penas/N/A,"§ 1º - Se o crime é cometido durante a noite, ou em lugar ermo, ou com o emprego de violência ou de arma, ou por duas ou mais pessoas:",,,,,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 151,Art. 151,Outras Penas/N/A,"Art. 151 - Devassar indevidamente o conteúdo de correspondência fechada, dirigida a outrem:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 154,Art. 154,Outras Penas/N/A,"Art. 154 - Revelar alguém, sem justa causa, segredo, de que tem ciência em razão de função, ministério, ofício ou profissão, e cuja revelação possa produzir dano a outrem:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 155,Art. 155,Outras Penas/N/A,"Art. 155 - Subtrair, para si ou para outrem, coisa alheia móvel:",12.0,mês,48.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 156,Art. 156,Outras Penas/N/A,"Art. 156 - Subtrair o condômino, co-herdeiro ou sócio, para si ou para outrem, a quem legitimamente a detém, a coisa comum:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 159,"Art. 159, § 2",Outras Penas/N/A,"§ 2º - Se do fato resulta lesão corporal de natureza grave:               Vide Lei nº 8.072, de 25.7.90",192.0,mês,288.0,mês,Crime Qualificado/Autônomo,Crime Qualificado/Autônomo
Art. 160,Art. 160,Outras Penas/N/A,"Art. 160 - Exigir ou receber, como garantia de dívida, abusando da situação de alguém, documento que pode dar causa a procedimento criminal contra a vítima ou contra terceiro:",12.0,mês,36.0,mês,Crime Base (Caput),Crime Base (Caput)
Art. 161,Art. 161,Outras Penas/N/A,"Art. 161 - Suprimir ou deslocar tapume, marco, ou qualquer outro sinal indicativo de linha divisória, para apropriar-se, no todo ou em parte, de coisa imóvel alheia:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 162,Art. 162,Outras Penas/N/A,"Art. 162 - Suprimir ou alterar, indevidamente, em gado ou rebanho alheio, marca ou sinal indicativo de propriedade:",,,,,Crime Base (Caput),Crime Base (Caput)
Art. 163,Art. 163,Outras Penas/N/A,"Art. 163 - Destruir, inutilizar ou deteriorar coisa alheia:",,,,,Crime Base (Caput),Crime Base (Caput)
